V1,V2,V3
...,"New York, USA",United States
Adams Parker,"California, PA",Panama
Jan Doane .&™©…©…©…©…&™,"California, USA",United States
Jessica Cunnington,"New York, NY",America
CBDHealthBox,"Niagara Falls, NY",America
Tyler,"Le Mars, IA",America
The Sports Lobby,"Holly Ridge, NC",New Caledonia
shawn rowser sr,"Cortland, OH",America
Eural Warren,"Syracuse, NY",America
Galica Graphics Gee,"South New Jersey, PA, DE, USA",United States
Gerald Lombardo,"Jupiter, FL",America
Armchair Cory,"Mississippi, USA",United States
NotABigBaller,United States,United States
Graphic Eye,"Dhaka, Bangladesh",Bangladesh
Jeremy Schad,"Mattydale, NY",America
The Sports Also Rises,United States,United States
Justin Carroll,"Winchester, VA",Holy See
JT Holmes,"Tempe, AZ",Azerbaijan
Daniel Kweku Appiah,"Abuakwa, Ghana",Ghana
Felice  oliveri,"Galeville, NY",America
RJ Gray,"Alabama, USA",United States
UrbanAMA,"San Francisco, CA",Canada
Pacers Report,"Indianapolis, IN",India
Tasha Black,"Kuala Lumpur,Malaysia ",Malaysia
Chris Milton,"Atwood, IN",India
George Jia,"Madison Wisconsin, USA",United States
Zero Cannon,"Charlotte, NC",New Caledonia
CBDHealthy77,"Florida, USA",United States
Warren Edward Lin,"New York, USA",United States
CJ Barksdale,"Salou, Spain",Spain
Pollypocket,"Rosemead, CA",Canada
TijuanaNOTmexico,"Savannah, GA",Gabon
NaturallyElevatedCBD,"Boulder, CO",Colombia
Daniel Darling,United States,United States
Big Jay O&™©…©…,"Oakland, CA",Canada
"PWM Group, LLC","Syracuse, NY",America
Liam Tankard,United States,United States
TheCleverGiver,"CONROE,TX",America
Rufino,"Hobart, IN",India
Maddy Rupert,"New Jersey, USA",United States
Keyshawn Brummett.,"Haywood County, TN",Tunisia
James Shafer,"Charleston, WV",America
Amare Smith,"Huntington, WV",America
th……BvG,"Syracuse, NY",America
Philip B DiGiovanni,"Sea Cliff, NY",America
Christmas Cheer,"North Pole, AK",America
©…©… Thanh Butera Jr ©…©…,"Boca Raton, FL",America
first lady,"Florida, USA",United States
Precious W,United States,United States
Cody Martin,Arkansas,America
Jay,Jersey ,Jersey
trapper of the ©…©…,"Syracuse, NY ",America
Justin Walters,"Brooklyn, NY",America
Rx4Rex/TheMasterscbd,"Huntington Beach, CA",Canada
Daniel W Vire,"Syracuse, NY",America
Jason D'souza,"Mumbai, India",India
tinacharette,"Syracuse, NY",America
Tally Smart Inc.,"Georgia, USA",United States
Jersey Jeans,"Los Angeles, CA",Canada
sse,"Los Angeles, CA",Canada
dondon,"El Reno, OK",America
guerro,"Tracy, CA",Canada
Damian Myles-Lange,"Ithaca, NY",America
Brent Grems,"Louisville, KY",Cayman Islands (the)
Ray Young,"Plum, PA",Panama
Ryan Schavone,"Clay, NY",America
John Brown,"New York, USA",United States
levon demirtshyan,"Los Angeles, CA",Canada
poet  Mehdidpu,"Kushtia, Dhaka",Bangladesh
ujjolhossai,Bangladesh,Bangladesh
George Jordan,Boston ,America
Princess Smoo ©…©…O&™©…©…,"North Carolina, USA",United States
Nick Florczyk,"New York, USA",United States
HOMAGE,"Columbus, OH, USA",United States
Christopher Tisdell,"Worcester, MA",Morocco
James Edouard,Haiti,Haiti
Will Weinbach,"Santa Monica, CA",Canada
Sakib Ahmed,"Rangpur, Bangladesh",Bangladesh
2018/19 ACC Champs,NJ,America
MasterSir,USA,United States
tyler case,"Lexington, KY",Cayman Islands (the)
Kevin Rose Jr,"Atlanta, GA",Gabon
Bamajay205,"Birmingham, AL",Albania
Holly,"Rome, NY",America
CF,"Syracuse, NY",America
Matt Tomo,"Syracuse, NY",America
cers baby,"Indiana, USA",United States
Joshuwa Roomsburg,"Michigan, USA",United States
Timothy Ray Moore II,"Columbus, IN",India
420 Joint Kings,United States,United States
Michele Sardinia,"Syracuse, NY",America
Lyon.writer,"Fort Lauderdale, FL",America
CNY Punisher,"Syracuse, NY",America
Tre Dwayne Kent,"Arvada, CO",Colombia
Joseph Solosky Jr,"Syracuse, NY",America
William Waterhouse,"Maine, USA",United States
Christian Menifee,"Charlotte, NC",New Caledonia
Martha Coller,"Elon, NC",New Caledonia
jesus avila,"Houston, TX",America
Richkingz,"Victoria, TX",America
Anthony Serricchio,"Palmer, MA",Morocco
Chris Sheppard,Massachusetts,America
Floran©…©…©…©…,"Rhne-Alpes, France",France
Ray_ Shammy©…©…©…©…< ™©…©…,"Barberton, OH",America
Yung Smooth,"Chino Hills, CA",Canada
Antonio Friday,"Suwanee, GA",Gabon
Justin Terrell,"Missouri, USA",United States
Bombeii,"South Carolina, USA",United States
Shaimiq Washington,"Brooklyn, NY",America
John Marzett22,"Columbus, OH",America
Jess-delicious dish,"Floyd, NY",America
William Cairns,"Brooklyn, NY",America
George Alexanian,"Phoenix, AZ",Azerbaijan
Based Native ©…©…,"Queens, NY",America
Jeysiah Davis,United States,United States
HobbyWorms,Australia,Australia
Konner Price,"Dallas, TX",America
Justin Tetreault,"Newport, VT",America
Balls Up,New Zealand,New Zealand
Tyler White,"Newton, NC",New Caledonia
Dana Chambers,"Castle Hayne, NC",New Caledonia
Arda,Turkey,Turkey
Kelly Sexton,"Norfolk, VA",Holy See
Don Beachem Jr,"Naperville, IL",Israel
Tis,"Manila, Philippines ",Philippines
joanne arnold,United States,United States
DilemmeDeBall,France,France
Sir Rant-A-Lot,"California, USA",United States
This Guy Ch,"Charlotte, NC",New Caledonia
Chem Meds Marijuana,United States,United States
Anthony Rucker,"Little Rock, AR",Argentina
Ronnie King,"Nicholasville, KY",Cayman Islands (the)
lionking81 GS1905,Turkey,Turkey
timothy keegan,"Syracuse, NY",America
Stephen Curry,Ankara,Turkey
Godak Red,"Out the Newz, VA",Holy See
Murat Yildiz,"Hesse, Germany",Germany
Robert F. Gallagher,"Syracuse, NY",America
Steve Leid,"Bowling Green,OH",America
Tyree  v  ©…©…应©…©…,"Compton, CA",Canada
Viral Me,"New York, NY",America
Yaunga,"Portland, ME",Montenegro
valerie walker,"Syracuse, NY",America
Talk Central,"Syracuse, NY",America
ratnasaha47,United States,United States
