V1,V2,V3
GoCar,Canada,Canada
Denise,"Sao Paulo, Brazil",Brazil
James,"New York, NY",America
Jazzy Rae,Arkansas,America
Tom Whelan,London,United Kingdom
Wei Siang Yu,Taiwan,Taiwan
David St.Denis,Canada,Canada
Diphanie Medina,"Denton, TX",America
Deepak,Canada,Canada
Fabrice Siakam,"Houston, TX",America
Greg O'Brien,Hamilton,Bermuda
MalickGN,"Cairo, Egypt",Egypt
Matt C,"Hilo, Hawaii",America
SanDiegoVisionLoss,"San Diego, California",America
JT Holmes,"Tempe, AZ",Azerbaijan
Lakshaan,"Mississauga, ON, Canada",Canada
Stephanie Caroline,Canada,Canada
"c a r l o s!©…©…™""","Miami, FL",America
Jamie McCallum,"Toronto, Ontario, Canada",Canada
kpq_S,"Renton,Washington",United States
Foxy Sports Gal,"The Deep South, USA",United States
brando,Ottawa ,Canada
Max Williams,"Bexley, London",United Kingdom
Thoughts In A Moment,"Calgary, Canada",Canada
©…©…secret NINJA,"Las Vegas, NV",America
Kirby Barber,"Toronto, ON, Canada",Canada
Rob Langford,London,United Kingdom
r mtz,"Denver, CO",Colombia
Shadreck Tembo,Malawi,Malawi
Christine Martin,"Manila, Philippines",Philippines
Svetlana Kat,Canada,Canada
Gary Flux,"Toronto, Canada",Canada
plants rights activist,"Lexington, KY",Cayman Islands (the)
CThaArt,Toronto,Canada
Joe Cabrera,"Orlando, FL",America
Tara Commerford,Sydney,Australia
Maliachi Broadwater,"Los Angeles, CA",Canada
M.M. Schultz,Canada,Canada
Freddie Lum,"San Francisco, CA",Canada
Shay,Toronto,Canada
Meghan Edwards,Toronto,Canada
Andrew Low Ah Kee,"Menlo Park, CA",Canada
Kristine Hubbard,Toronto,Canada
Avery,"Menlo Park, CA",Canada
Jeremy Lenk,"Toronto, Canada",Canada
vikmasila,"Mombasa, Kenya",Kenya
Alex Stojkovic,"Toronto, Canada",Canada
Sportsnet,Canada,Canada
Gunn3r,Canada,Canada
Sar Elizabeth,CA,Canada
NSC G League ©…©…,"Fremont, CA",Canada
Sneaker Heart,"Washington, USA",United States
Adam,Canada,Canada
UUEchn,"Qubec, Canada",Canada
D.J. Harris,Canada,Canada
John Horstmann,Vancouver,Canada
Tyler Simmonds,Canada,Canada
MINDA,Toronto,Canada
Ral Barrign,Madrid,Spain
Dustin Low,Canada,Canada
p.KarolisJachmvicius,"Vilnius, Lithuania",Lithuania
Jakub Kotulski,Poland,Poland
Derrick Brandao,"Toronto, Ontario, Canada",Canada
Coren,"Randallstown, MD",Moldova
Antnio Guedes ©…©…©…©…,Portugal,Portugal
tom zaragoza ©…©…,Toronto,Canada
©…©…LYONNAIS©…©…,France,France
Jamy Bechler,"Atlanta, GA",Gabon
5!5( Momma O / #MAGA,"Salt Lake City, Utah, USA",United States
Bilal stanford,"Missouri, USA",United States
kylli,"Ontario, Canada",Canada
Andrew Simpson,Toronto,Canada
Sikadime,"Vancouver BC, Canada",Canada
Sean T. Flick,"Kelso, WA",America
Cindy Dykun,"  Winnipeg, Canada",Canada
Tio_M,"Reims, France",France
dan-swim,"Prince Edward Island, Canada",Canada
whocanithurt,Canada,Canada
Alex S,Toronto,Canada
Aaron,"Sydney, Australia",Australia
Anna Maria Adams,"Mississauga, Ontario, Canada",Canada
Fred Liao,"Hamilton, ON, Canada",Canada
WeLoveThisGame,United States,United States
Ian Dunlap,United States,United States
Hafa Adam,"Montral, Canada",Canada
Laura Hurley,Toronto,Canada
Demar DeKobe,Canada,Canada
NaTasha E. Jones,"Dallas, TX",America
NbaFansFrance©…©…,"Picardie, France",France
Fiona,"Los Angeles, CA",Canada
Mertens,"Montevideo, Uruguay",Uruguay
Raye,"Toronto, Canada",Canada
Jean Raymond,"New Jersey, USA",United States
MD against Trump!!!!,USA,United States
Mike Ballenger,"Upper Arlington, Ohio- Jasper, Indiana",America
khadji hunt,"California, USA",United States
Marc Gomez,"Winnipeg, Canada",Canada
Lloyd Quansah,Toronto,Canada
